,Subsystem,p-Value,recall,target_lenght
35,Fructose and mannose metabolism,2.6915889816785585e-19,1.0,1.0
2,Arginine and proline metabolism,2.029439896572624e-09,0.37037037037037035,0.37037037037037035
7,Purine metabolism,6.128493039824992e-09,0.2894736842105263,0.2894736842105263
44,Inositol phosphate metabolism,2.152673572932903e-08,1.0,1.0
0,Phenylalanine tyrosine and tryptophan biosynthesis,1.135386129584289e-07,0.3,0.3
40,Nucleotide sugars metabolism,1.2609351172796938e-07,0.8333333333333334,0.8333333333333334
32,Starch and sucrose metabolism,1.4412882637356399e-05,0.4166666666666667,0.4166666666666667
42,Valine leucine and isoleucine biosynthesis,2.2866658608829912e-05,0.38461538461538464,0.38461538461538464
22,Biotin metabolism,2.5793899585704222e-05,1.0,1.0
17,Glycolysis/Gluconeogenesis,8.664464474514567e-05,0.23076923076923078,0.23076923076923078
31,Glutathione metabolism,0.00010092991302494025,0.75,0.75
27,Thiamine metabolism,0.00010092991302494025,0.75,0.75
8,Porphyrin and chlorophyll metabolism,0.00010577593987081362,0.1568627450980392,0.1568627450980392
24,Sulfur Cysteine and methionine metabolism,0.0001350750161512792,0.2777777777777778,0.2777777777777778
14,Glycerolipid metabolism,0.00048296154062689504,0.5,0.5
50,Steroid biosynthesis,0.0008808139043710848,1.0,1.0
29,Glyoxylate and dicarboxylate metabolism,0.0020503605048047147,0.21052631578947367,0.21052631578947367
11,Pyrimidine metabolism,0.004273119491693293,0.17391304347826086,0.17391304347826086
12,"Alanine, aspartate and glutamate metabolism",0.005927527009211483,0.23076923076923078,0.23076923076923078
43,Carbon fixation,0.01676833112554137,0.2857142857142857,0.2857142857142857
36,Lysine metabolism,0.03389661649688823,0.2,0.2
49,Transport,0.03426843230829387,0.06299212598425197,0.06299212598425197
15,Histidine metabolism,0.055449308152576496,0.15384615384615385,0.15384615384615385
47,Vitamin B6 metabolism,0.05873978230159097,0.5,0.5
4,Others,0.08681424649541551,0.3333333333333333,0.3333333333333333
18,PHB byosynthesis,0.11405873602226779,0.25,0.25
39,Aminosugars metabolism,0.14049756918492393,0.2,0.2
23,C5-Branched dibasic acid metabolism,0.14049756918492393,0.2,0.2
37,Oxidative phosphorylation,0.15450781623226875,0.05714285714285714,0.05714285714285714
6,Riboflavin metabolism,0.19105202933763463,0.14285714285714285,0.14285714285714285
33,Pentose phosphate pathway,0.2834871500442185,0.09090909090909091,0.09090909090909091
28,Folate biosynthesis,0.30491047526714216,0.08333333333333333,0.08333333333333333
3,Nitrogen metabolism,0.345871089802203,0.07142857142857142,0.07142857142857142
20,Pyruvate metabolism,0.5025098726543364,0.043478260869565216,0.043478260869565216
45,Lipopolysaccharide biosynthesis,1.0,0.0,0.0
46,Peptidoglycan biosynthesis,1.0,0.0,0.0
41,Hydrogen production,1.0,0.0,0.0
48,Sulfolipid Biosynthesis,1.0,0.0,0.0
1,Fatty acid biosynthesis,1.0,0.0,0.0
16,Carotenoid Biosynthesis,1.0,0.0,0.0
5,Citrate cycle (TCA cycle),1.0,0.0,0.0
34,Ubiquinone and other pterpenoids biosynthesis,1.0,0.0,0.0
9,Terpenoid backbone biosynthesis,1.0,0.0,0.0
30,Pantothenate and CoA biosynthesis,1.0,0.0,0.0
10,Photosynthesis,1.0,0.0,0.0
26,Sterol biosynthesis,1.0,0.0,0.0
21,Urea cycle and metabolism of amino groups,1.0,0.0,0.0
19,Cyanophycin metabolism,1.0,0.0,0.0
13,Nicotinate and nicotinamide metabolism,1.0,0.0,0.0
38,Glutamate metabolism,1.0,0.0,0.0
25,Galactolipids metabolism,1.0,0.0,0.0
