,Subsystem,p-Value,recall,target_lenght
10,Photosynthesis,1.9885408888976982e-52,0.8539325842696629,0.8539325842696629
49,Transport,1.8196147804264817e-43,0.6692913385826772,0.6692913385826772
37,Oxidative phosphorylation,1.504061128758602e-35,0.8,0.8
8,Porphyrin and chlorophyll metabolism,8.944495971988166e-28,0.8235294117647058,0.8235294117647058
7,Purine metabolism,4.229147243425978e-19,0.7894736842105263,0.7894736842105263
0,Phenylalanine tyrosine and tryptophan biosynthesis,2.143973522700043e-14,0.7666666666666667,0.7666666666666667
17,Glycolysis/Gluconeogenesis,4.7775561896859526e-14,0.8076923076923077,0.8076923076923077
1,Fatty acid biosynthesis,6.088303992534435e-14,0.9444444444444444,0.9444444444444444
2,Arginine and proline metabolism,5.4291178882458723e-11,0.7037037037037037,0.7037037037037037
28,Folate biosynthesis,7.083040920937265e-11,1.0,1.0
34,Ubiquinone and other pterpenoids biosynthesis,5.011251451563117e-10,1.0,1.0
15,Histidine metabolism,8.008573674227766e-10,0.9230769230769231,0.9230769230769231
24,Sulfur Cysteine and methionine metabolism,2.4549907004986743e-09,0.7777777777777778,0.7777777777777778
11,Pyrimidine metabolism,2.534251355708985e-09,0.6956521739130435,0.6956521739130435
20,Pyruvate metabolism,2.534251355708985e-09,0.6956521739130435,0.6956521739130435
46,Peptidoglycan biosynthesis,2.496040368249612e-08,1.0,1.0
30,Pantothenate and CoA biosynthesis,2.496040368249612e-08,1.0,1.0
29,Glyoxylate and dicarboxylate metabolism,1.1707539113586252e-07,0.6842105263157895,0.6842105263157895
12,"Alanine, aspartate and glutamate metabolism",6.698977712688659e-07,0.7692307692307693,0.7692307692307693
43,Carbon fixation,1.2351057172362014e-06,1.0,1.0
5,Citrate cycle (TCA cycle),1.2351057172362014e-06,1.0,1.0
21,Urea cycle and metabolism of amino groups,1.2351057172362014e-06,1.0,1.0
16,Carotenoid Biosynthesis,1.2351057172362014e-06,1.0,1.0
9,Terpenoid backbone biosynthesis,1.2351057172362014e-06,1.0,1.0
36,Lysine metabolism,6.038221620921832e-06,0.8,0.8
42,Valine leucine and isoleucine biosynthesis,1.0347679565977473e-05,0.6923076923076923,0.6923076923076923
3,Nitrogen metabolism,2.5294680602733035e-05,0.6428571428571429,0.6428571428571429
6,Riboflavin metabolism,5.325775852722501e-05,0.8571428571428571,0.8571428571428571
23,C5-Branched dibasic acid metabolism,6.071782389487142e-05,1.0,1.0
45,Lipopolysaccharide biosynthesis,6.071782389487142e-05,1.0,1.0
38,Glutamate metabolism,9.955087737167812e-05,0.7,0.7
26,Sterol biosynthesis,0.001880524329434708,0.8,0.8
39,Aminosugars metabolism,0.001880524329434708,0.8,0.8
33,Pentose phosphate pathway,0.0020953935219438905,0.5454545454545454,0.5454545454545454
13,Nicotinate and nicotinamide metabolism,0.002328892590469708,0.625,0.625
4,Others,0.0029655150262982324,1.0,1.0
32,Starch and sucrose metabolism,0.0036861080876655645,0.5,0.5
48,Sulfolipid Biosynthesis,0.02067451685630979,1.0,1.0
25,Galactolipids metabolism,0.02067451685630979,1.0,1.0
41,Hydrogen production,0.023649270331308963,0.6,0.6
14,Glycerolipid metabolism,0.20919381921067598,0.3333333333333333,0.3333333333333333
35,Fructose and mannose metabolism,0.5327248525743873,0.16666666666666666,0.16666666666666666
44,Inositol phosphate metabolism,0.5403594990207161,0.2,0.2
31,Glutathione metabolism,1.0,0.0,0.0
40,Nucleotide sugars metabolism,1.0,0.0,0.0
27,Thiamine metabolism,1.0,0.0,0.0
22,Biotin metabolism,1.0,0.0,0.0
19,Cyanophycin metabolism,1.0,0.0,0.0
18,PHB byosynthesis,1.0,0.0,0.0
47,Vitamin B6 metabolism,1.0,0.0,0.0
50,Steroid biosynthesis,1.0,0.0,0.0
