,Subsystem,p-Value,recall,target_lenght
35,Fructose and mannose metabolism,7.382488003880612e-12,0.6666666666666666,0.6666666666666666
7,Purine metabolism,4.833150765742503e-07,0.21052631578947367,0.21052631578947367
40,Nucleotide sugars metabolism,2.0540008541944234e-06,0.6666666666666666,0.6666666666666666
22,Biotin metabolism,7.433404590086459e-06,1.0,1.0
17,Glycolysis/Gluconeogenesis,8.199807687645546e-06,0.23076923076923078,0.23076923076923078
31,Glutathione metabolism,2.9310234860503653e-05,0.75,0.75
27,Thiamine metabolism,2.9310234860503653e-05,0.75,0.75
42,Valine leucine and isoleucine biosynthesis,8.811304322767972e-05,0.3076923076923077,0.3076923076923077
32,Starch and sucrose metabolism,0.0014378881149696013,0.25,0.25
18,PHB byosynthesis,0.0022576656787429983,0.5,0.5
44,Inositol phosphate metabolism,0.003714620811612454,0.4,0.4
24,Sulfur Cysteine and methionine metabolism,0.004897275311849581,0.16666666666666666,0.16666666666666666
29,Glyoxylate and dicarboxylate metabolism,0.005733669123642585,0.15789473684210525,0.15789473684210525
8,Porphyrin and chlorophyll metabolism,0.017482317440159045,0.0784313725490196,0.0784313725490196
0,Phenylalanine tyrosine and tryptophan biosynthesis,0.020571427132661524,0.1,0.1
49,Transport,0.03830700763842366,0.047244094488188976,0.047244094488188976
47,Vitamin B6 metabolism,0.039180277408629324,0.5,0.5
50,Steroid biosynthesis,0.039180277408629324,0.5,0.5
37,Oxidative phosphorylation,0.048536361691776955,0.05714285714285714,0.05714285714285714
11,Pyrimidine metabolism,0.0747756340061961,0.08695652173913043,0.08695652173913043
23,C5-Branched dibasic acid metabolism,0.09512843765519248,0.2,0.2
2,Arginine and proline metabolism,0.09868703407713528,0.07407407407407407,0.07407407407407407
14,Glycerolipid metabolism,0.11305398013854961,0.16666666666666666,0.16666666666666666
46,Peptidoglycan biosynthesis,0.16475547598312085,0.1111111111111111,0.1111111111111111
36,Lysine metabolism,0.18131968414754132,0.1,0.1
33,Pentose phosphate pathway,0.19755980997831032,0.09090909090909091,0.09090909090909091
12,"Alanine, aspartate and glutamate metabolism",0.22909271310518048,0.07692307692307693,0.07692307692307693
1,Fatty acid biosynthesis,1.0,0.0,0.0
48,Sulfolipid Biosynthesis,1.0,0.0,0.0
43,Carbon fixation,1.0,0.0,0.0
3,Nitrogen metabolism,1.0,0.0,0.0
41,Hydrogen production,1.0,0.0,0.0
4,Others,1.0,0.0,0.0
39,Aminosugars metabolism,1.0,0.0,0.0
38,Glutamate metabolism,1.0,0.0,0.0
45,Lipopolysaccharide biosynthesis,1.0,0.0,0.0
15,Histidine metabolism,1.0,0.0,0.0
34,Ubiquinone and other pterpenoids biosynthesis,1.0,0.0,0.0
16,Carotenoid Biosynthesis,1.0,0.0,0.0
6,Riboflavin metabolism,1.0,0.0,0.0
9,Terpenoid backbone biosynthesis,1.0,0.0,0.0
30,Pantothenate and CoA biosynthesis,1.0,0.0,0.0
10,Photosynthesis,1.0,0.0,0.0
28,Folate biosynthesis,1.0,0.0,0.0
26,Sterol biosynthesis,1.0,0.0,0.0
13,Nicotinate and nicotinamide metabolism,1.0,0.0,0.0
21,Urea cycle and metabolism of amino groups,1.0,0.0,0.0
20,Pyruvate metabolism,1.0,0.0,0.0
19,Cyanophycin metabolism,1.0,0.0,0.0
5,Citrate cycle (TCA cycle),1.0,0.0,0.0
25,Galactolipids metabolism,1.0,0.0,0.0
