,Subsystem,p-Value,recall,target_lenght
10,Photosynthesis,2.7446783504979997e-53,0.8539325842696629,0.8539325842696629
49,Transport,9.48906594295963e-47,0.6850393700787402,0.6850393700787402
37,Oxidative phosphorylation,3.672024756190534e-36,0.8,0.8
8,Porphyrin and chlorophyll metabolism,3.136188654811915e-28,0.8235294117647058,0.8235294117647058
7,Purine metabolism,2.0312674309076385e-19,0.7894736842105263,0.7894736842105263
0,Phenylalanine tyrosine and tryptophan biosynthesis,1.2307163615027692e-14,0.7666666666666667,0.7666666666666667
1,Fatty acid biosynthesis,3.9839463518060607e-14,0.9444444444444444,0.9444444444444444
11,Pyrimidine metabolism,5.846827176574011e-12,0.782608695652174,0.782608695652174
28,Folate biosynthesis,5.244061374031388e-11,1.0,1.0
17,Glycolysis/Gluconeogenesis,1.7945636230993661e-10,0.6923076923076923,0.6923076923076923
34,Ubiquinone and other pterpenoids biosynthesis,3.805306073976622e-10,1.0,1.0
15,Histidine metabolism,5.951539148309358e-10,0.9230769230769231,0.9230769230769231
24,Sulfur Cysteine and methionine metabolism,1.753952765347777e-09,0.7777777777777778,0.7777777777777778
2,Arginine and proline metabolism,5.4049178741239125e-09,0.6296296296296297,0.6296296296296297
46,Peptidoglycan biosynthesis,1.9935252271155903e-08,1.0,1.0
30,Pantothenate and CoA biosynthesis,1.9935252271155903e-08,1.0,1.0
12,"Alanine, aspartate and glutamate metabolism",5.274814811166767e-07,0.7692307692307693,0.7692307692307693
5,Citrate cycle (TCA cycle),1.0373281478462244e-06,1.0,1.0
16,Carotenoid Biosynthesis,1.0373281478462244e-06,1.0,1.0
43,Carbon fixation,1.0373281478462244e-06,1.0,1.0
21,Urea cycle and metabolism of amino groups,1.0373281478462244e-06,1.0,1.0
9,Terpenoid backbone biosynthesis,1.0373281478462244e-06,1.0,1.0
36,Lysine metabolism,4.981029070959507e-06,0.8,0.8
42,Valine leucine and isoleucine biosynthesis,8.384966304412122e-06,0.6923076923076923,0.6923076923076923
6,Riboflavin metabolism,4.602333243452117e-05,0.8571428571428571,0.8571428571428571
45,Lipopolysaccharide biosynthesis,5.3614955547226555e-05,1.0,1.0
23,C5-Branched dibasic acid metabolism,5.3614955547226555e-05,1.0,1.0
29,Glyoxylate and dicarboxylate metabolism,7.657270272657086e-05,0.5263157894736842,0.5263157894736842
38,Glutamate metabolism,8.44934123544137e-05,0.7,0.7
26,Sterol biosynthesis,0.0017079596928604814,0.8,0.8
39,Aminosugars metabolism,0.0017079596928604814,0.8,0.8
33,Pentose phosphate pathway,0.0018354354290855228,0.5454545454545454,0.5454545454545454
13,Nicotinate and nicotinamide metabolism,0.0020769334973264513,0.625,0.625
20,Pyruvate metabolism,0.0025782944955938998,0.391304347826087,0.391304347826087
3,Nitrogen metabolism,0.008209673198478474,0.42857142857142855,0.42857142857142855
48,Sulfolipid Biosynthesis,0.019673665427356365,1.0,1.0
25,Galactolipids metabolism,0.019673665427356365,1.0,1.0
41,Hydrogen production,0.022080492360900598,0.6,0.6
32,Starch and sucrose metabolism,0.0752651491589159,0.3333333333333333,0.3333333333333333
14,Glycerolipid metabolism,0.2010530729225388,0.3333333333333333,0.3333333333333333
4,Others,0.36486982121732137,0.3333333333333333,0.3333333333333333
35,Fructose and mannose metabolism,0.5184406843011233,0.16666666666666666,0.16666666666666666
44,Inositol phosphate metabolism,0.5308176213098895,0.2,0.2
31,Glutathione metabolism,1.0,0.0,0.0
27,Thiamine metabolism,1.0,0.0,0.0
40,Nucleotide sugars metabolism,1.0,0.0,0.0
22,Biotin metabolism,1.0,0.0,0.0
19,Cyanophycin metabolism,1.0,0.0,0.0
18,PHB byosynthesis,1.0,0.0,0.0
47,Vitamin B6 metabolism,1.0,0.0,0.0
50,Steroid biosynthesis,1.0,0.0,0.0
