locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
SGL_RS01370,SGL_RS01370,NC_005232.1,slr6001,243,3053,+,hybrid sensor histidine kinase/response regulator,Signal transduction mechanisms,,Op97
SGL_RS00010,SGL_RS00010,NC_005229.1,sll5002,574,1017,-,hypothetical protein,No COG annotation,,Op712
SGL_RS00635,SGL_RS00635,NC_005230.1,sll7002,706,1287,-,IS701 family transposase,"Replication, recombination and repair",,Op2588
SGL_RS01880,SGL_RS01880,NC_000911.1,slr0612,811,1494,+,pseudouridine synthase,"Translation, ribosomal structure and biogenesis",,Op465
SGL_RS00015,SGL_RS00015,NC_005229.1,sll5003,1136,1540,-,DUF5615 family PIN-like protein,No COG annotation,,Op686
SGL_RS00640,SGL_RS00640,NC_005230.1,sll7003,1399,1827,-,type II toxin-antitoxin system VapC family toxin,No COG annotation,,Op140
SGL_RS20055,SGL_RS20055,NC_005229.1,,1515,1700,-,DUF433 domain-containing protein,No COG annotation,,
SGL_RS01885,SGL_RS01885,NC_000911.1,slr0613,1577,2098,+,hypothetical protein,No COG annotation,,Op2594
SGL_RS00645,SGL_RS00645,NC_005230.1,ssl7004,1799,2032,-,DNA-binding protein,No COG annotation,,Op426
SGL_RS01130,SGL_RS01130,NC_005231.1,sll8001,1920,2966,-,macro domain-containing protein,No COG annotation,,Op290
SGL_RS01890,SGL_RS01890,NC_000911.1,sll0558,2172,2873,-,GUN4 domain-containing protein,Transcription,,Op1250
SGL_RS00650,SGL_RS00650,NC_005230.1,slr7005,2399,2965,+,site-specific integrase,"Replication, recombination and repair",,Op1587
SGL_RS00020,SGL_RS00020,NC_005229.1,slr5005,2528,13921,+,FG-GAP-like repeat-containing protein,No COG annotation,,Op2245
SGL_RS01135,SGL_RS01135,NC_005231.1,sll8002,2983,3621,-,DUF4433 domain-containing protein,No COG annotation,,Op290
SGL_RS00655,SGL_RS00655,NC_005230.1,sll7006,3041,3364,-,YlcI/YnfO family protein,No COG annotation,,Op15
SGL_RS20090,SGL_RS20090,NC_005232.1,,3099,3233,-,hypothetical protein,No COG annotation,,
SGL_RS01895,acsF,NC_000911.1,sll1214,3192,4268,-,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase,Nucleotide transport and metabolism,,Op266
SGL_RS00660,SGL_RS00660,NC_005230.1,,3367,3819,-,putative toxin-antitoxin system toxin component%2C PIN family,No COG annotation,,
SGL_RS01375,SGL_RS01375,NC_005232.1,ssr6002,3505,3753,+,hypothetical protein,No COG annotation,,Op930
SGL_RS01140,SGL_RS01140,NC_005231.1,ssl8003,3660,3839,-,hypothetical protein,No COG annotation,,Op290
SGL_RS01145,SGL_RS01145,NC_005231.1,sll8004,3836,4372,-,zeta toxin family protein,No COG annotation,,Op290
SGL_RS19720,SGL_RS19720,NC_005232.1,,3853,4080,+,hypothetical protein,No COG annotation,,
SGL_RS19725,SGL_RS19725,NC_005232.1,,4050,4406,+,hypothetical protein,No COG annotation,,
SGL_RS00665,SGL_RS00665,NC_005230.1,slr7008,4241,5257,+,IS4-like element IS4Sa family transposase,No COG annotation,,Op655
SGL_RS01390,SGL_RS01390,NC_005232.1,slr6005,4346,5251,+,ATP-binding protein,No COG annotation,,Op1330
